2004-01,13
2004-02,18
2004-03,16
2004-04,44
2004-05,34
2004-06,28
2004-07,25
2004-08,13
2004-09,22
2004-10,25
2004-11,24
2004-12,22
2005-01,15
2005-02,23
2005-03,18
2005-04,21
2005-05,32
2005-06,31
2005-07,27
2005-08,29
2005-09,30
2005-10,19
2005-11,26
2005-12,24
2006-01,17
2006-02,22
2006-03,25
2006-04,27
2006-05,24
2006-06,32
2006-07,30
2006-08,28
2006-09,24
2006-10,34
2006-11,21
2006-12,24
2007-01,24
2007-02,23
2007-03,27
2007-04,31
2007-05,30
2007-06,35
2007-07,26
2007-08,24
2007-09,21
2007-10,28
2007-11,20
2007-12,21
2008-01,21
2008-02,19
2008-03,19
2008-04,31
2008-05,41
2008-06,31
2008-07,21
2008-08,21
2008-09,20
2008-10,23
2008-11,20
2008-12,21
2009-01,18
2009-02,19
2009-03,22
2009-04,30
2009-05,31
2009-06,44
2009-07,26
2009-08,28
2009-09,25
2009-10,30
2009-11,21
2009-12,21
2010-01,18
2010-02,30
2010-03,32
2010-04,34
2010-05,43
2010-06,34
2010-07,30
2010-08,27
2010-09,29
2010-10,34
2010-11,28
2010-12,26
2011-01,24
2011-02,28
2011-03,29
2011-04,34
2011-05,52
2011-06,38
2011-07,40
2011-08,35
2011-09,37
2011-10,33
2011-11,30
2011-12,32
2012-01,32
2012-02,34
2012-03,36
2012-04,42
2012-05,52
2012-06,56
2012-07,40
2012-08,37
2012-09,40
2012-10,42
2012-11,34
2012-12,32
2013-01,37
2013-02,33
2013-03,51
2013-04,55
2013-05,58
2013-06,100
2013-07,58
2013-08,44
2013-09,44
2013-10,43
2013-11,37
2013-12,38
2014-01,34
2014-02,42
2014-03,51
2014-04,58
2014-05,67
2014-06,83
2014-07,67
2014-08,48
2014-09,52
2014-10,53
2014-11,46
2014-12,46
2015-01,43
2015-02,39
2015-03,52
2015-04,67
2015-05,74
2015-06,81
2015-07,69
2015-08,56
2015-09,62
2015-10,64
2015-11,53
2015-12,54
2016-01,61
2016-02,55
2016-03,70
2016-04,93
2016-05,84
2016-06,68
2016-07,76
2016-08,63
2016-09,58
2016-10,71
